section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Delhi Orders,7,70,M/s Akam Impex,27.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Akam Impex/08/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Akam_Impex8.pdf,YES
Delhi Orders,8,71,M/s Akam Impex,27.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Akam Impex/07/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Akam_Impex7.pdf,YES
Delhi Orders,8,72,M/s Green Trade Overseas LLP,18.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Green Trade/06/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Green_Trade6_14jan2025.pdf,YES
Delhi Orders,8,73,M/s Green Trade Overseas LLP,18.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Green Trade/05/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Green_Trade5_14jan2025.pdf,YES
Delhi Orders,8,74,M/s Green Trade Overseas LLP,18.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Green Trade/04/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Green_Trade4_14jan2025.pdf,YES
Delhi Orders,8,75,M/s Green Trade Overseas LLP,18.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Green Trade/03/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Green_Trade3_14jan2025.pdf,YES
Delhi Orders,8,76,M/s Green Trade Overseas LLP,18.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Green Trade/02/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Green_Trade2_14jan2025.pdf,YES
Delhi Orders,8,77,M/s Vaibhav Enterprises,28.11.2024,09.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Vaibhav Enterprises/01/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Vaibhav_Enterprises_14jan2025.pdf,YES
Delhi Orders,8,78,Vapa Overseas Pvt Ltd,24.09.2024,05.12.2024,Menthol scented supari,CAAR/Del/Vapa Overseas/20/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-vapa-overseas-10122024.pdf,YES
Delhi Orders,8,79,M/s Vapa Overseas Pvt Ltd.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/Vapa Overseas/19/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-19-03012025.pdf,YES
Delhi Orders,8,80,M/s Vapa Overseas Pvt Ltd.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/Vapa Overseas/18/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-18-03012025.pdf,YES
Delhi Orders,9,81,M/s Vapa Overseas Pvt Ltd.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/Vapa Overseas/17/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-17-03012025.pdf,YES
Delhi Orders,9,82,M/s RV International.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/RV Intl/16/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-16-03012025.pdf,YES
