section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Mumbai Orders,8,75,M/s.Mahaveer Impex 2nd floor 203 Mahaveer Apartments 3rd road Khar west Mumbai-400052,13.10.2022,17.01.2023,Classification for the proposed import of Rolls made of polyester taffeta satin etc.,CAAR/Mum/ARC/01/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/CAAR-Mum-ARC-01-2023.PDF,YES
Mumbai Orders,8,76,"M/s VEH Green Energy Pvt. Ltd. 9th floor My home twitza plot no.30/A TSIIC Hyderabad Knowledge city
Read More..",06.09.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/25/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-25-210ct2022-veh4.PDF,YES
Mumbai Orders,8,77,"M/s Kleio Solar Power Pvt. Ltd. 9th floor My home twitza plot no.30/A TSIIC Hyderabad Knowledge city
Read More..",06.09.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/24/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-23-210ct2022-kleio.PDF,YES
Mumbai Orders,8,78,"M/s Eridanus Solar Power Pvt. Ltd. 9th floor My home twitza plot no.30/A TSIIC Hyderabad Knowledge c
Read More..",06.09.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/23/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-23-210ct2022-eridamus.PDF,YES
Mumbai Orders,8,79,"M/s VEH Jayin Renewable Pvt. Ltd. 9th floor My home twitza plot no.30/A TSIIC, Hyderabad Knowledge
Read More..",06.09.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/22/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-22-210ct2022-veh3.PDF,YES
Mumbai Orders,8,80,"M/s Akamu Solar Energy Pvt Ltd. Plot No-38 Phase 2 First floor N heights Hitech City Siddiq Nagar Hy
Read More..",22.07.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/21/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-21-210ct2022-akamu.PDF,YES
Mumbai Orders,9,81,"M/s VEH Surya Energy Pvt Ltd. Plot No-38 Phase 2 First floor N heights Hitech City Siddiq Nagar Hyde
Read More..",22.07.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/20/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-19-210ct2022-veh2.PDF,YES
Mumbai Orders,9,82,"M/s VEH Surya Energy Pvt Ltd. Plot No-38 Phase 2 First floor N heights Hitech City Siddiq Nagar Hyde
Read More..",22.07.2022,21 .10.2022,Request for permission to withdraw,CAAR/Mum/ARC/19/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-19-210ct2022-veh.PDF,YES
Mumbai Orders,9,83,"M/s Aragorn Renewable Energy Pvt Ltd. Plot No-38, Phase 2 First floor N heights Hitech City Siddiq N
Read More..",22.07.2022,21 .10.2022,Request for permission to withdraw.,CAAR/Mum/ARC/18/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-18-210ct2022-aragorn.PDF,YES
Mumbai Orders,9,84,"M/s VEH Aelius Energy Pvt Ltd. Plot No-38, Phase 2 First floor N heights Hitech City Siddiq Nagar Hy
Read More..",22.07.2022,21 .10.2022,Request for permission to withdraw.,CAAR/Mum/ARC/17/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-17-210ct2022-veh-aelius.PDF,YES
Mumbai Orders,9,85,"M/s VEH Cyra Energy Pvt Ltd. Plot No-38, Phase 2 First floor N heights Hitech City Siddiq Nagar Hyde
Read More..",22.07.2022,21.10.2022,Request for permission to withdraw.,CAAR/Mum/ARC/16/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-16-210ct2022-veh.PDF,YES
Mumbai Orders,9,86,"M/s BASF India Limited The Capital A wing 1204-C & 12Th floor Plot no-C-70 G Block Bandra Kurla Co
Read More..",06.09.2022,17.10.2022,Classification of DJI Mini 3 Pro fly more kit.,CAAR/Mum/ARC/15/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-arc-15-2022-basf.PDF,YES
Mumbai Orders,9,87,"Ms. AMP Solar Urja Private Limited Office No. 29/2 & 2nd Floor Sharma Market Harola Sector-5 Noida G
Read More..",29.07.2022,29.08.2022,Eligibility to import goods at concessional rate of duty under chapter heading 98010013 of the First,CAAR/Mum/ARC/14/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/ms_AMP_Solar_Urja.pdf,YES
Mumbai Orders,9,88,M/s Multi Channel Inc 2C-112 2ND Cross Road East of NGEF Kasturi Nagar Bangalore Karnataka- 560043,03.02.2022,08.03.2022,"Order on grounds of ""Matter already pending before an officer of Customs""""""",CAAR/Mum/ARC/13/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/multi-channel-inc-order-mum.pdf,YES
Mumbai Orders,9,89,"M/s Amazon Seller Services Pvt. Ltd. 8TH Floor World Trade Centre Brigade Gateway 26/1 Dr Rajkumar R
Read More..","August,2021",17.02.2022,"Order on grounds of ""Awaiting Decision of the Hon'ble Delhi High Court""""""",CAAR/Mum/ARC/003-12/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon seller order No 03 to 12.pdf,YES
Mumbai Orders,9,90,M/s Jabil Circuit B-26 MIDC Industrial Area Ranjangaon Taluka- Shirur Pune Maharashtra- 412220,--,15.02.2022,"Order on grounds of ""Non- prosecution""""""",CAAR/Mum/ARC/02/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Jabil Circuit.pdf,YES
Mumbai Orders,10,91,M/s Allanasons Pvt Ltd Allana House 04 Allana Road Colaba Mumbai - 400001,--,10.02.2022,"Order on grounds of ""Non- prosecution""""""",CAAR/Mum/ARC/01/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Allanasons order.pdf,YES
Mumbai Orders,10,92,M/S Amazon seller services Pvt Ltd 8TH floor world Trade center Brigade Gateway Karnataka-560055,Aug-21,13.12.2021,Order in respect of Fire TV Stick,CAAR/Mum/ARC/01/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/amazon-151221.pdf,YES
